scientific_name,common_name,listing_location,listing_region,esa_status,group
Alasmidonta atropurpurea,Cumberland elktoe,Wherever found,4,Endangered,Clams
Theliderma intermedia,Cumberland monkeyface (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Speoplatyrhinus poulsoni,Alabama cavefish,Wherever found,4,Endangered,Fishes
Noturus baileyi,Smoky madtom,Wherever found,4,Endangered,Fishes
Etheostoma wapiti,Boulder darter,Wherever found,4,Endangered,Fishes
Erimonax monachus,Spotfin Chub,U.S.A. (TN-specified portions of the Tellico River; see 17.84(m)(1)(i)),4,"Experimental Population, Non-Essential",Fishes
Marstonia pachyta,Armored snail,Wherever found,4,Endangered,Snails
Pleurobema taitianum,Heavy pigtoe,Wherever found,4,Endangered,Clams
Percina aurora,Pearl darter,Wherever found,4,Threatened,Fishes
Etheostoma scotti,Cherokee darter,Wherever found,4,Threatened,Fishes
Ptychobranchus subtentus,Fluted kidneyshell,Wherever found,4,Endangered,Clams
Margaritifera marrianae,Alabama pearlshell,Wherever found,4,Endangered,Clams
Quadrula fragosa,Winged Mapleleaf,U.S.A. (AL-specified portions of the Tennessee River; see 17.85(a)(1)),4,"Experimental Population, Non-Essential",Clams
Menidia extensa,Waccamaw silverside,Wherever found,4,Threatened,Fishes
Amblyopsis rosae,Ozark cavefish,Wherever found,4,Threatened,Fishes
Orthalicus reses (not incl. nesodryas),Stock Island tree snail,Wherever found,4,Threatened,Snails
Hamiota altilis,Finelined pocketbook,Wherever found,4,Threatened,Clams
Noturus flavipinnis,Yellowfin madtom,U.S.A. (TN-specified portions of the Tellico River; see 17.84(e)(1)(ii)),4,"Experimental Population, Non-Essential",Fishes
Noturus flavipinnis,Yellowfin madtom,"U.S.A. (TN, VA-specified portions of the Holston River and watershed; see 17.84(e)(1)(i))",4,"Experimental Population, Non-Essential",Fishes
Epioblasma turgidula,Turgid blossom (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Gulf sturgeon,Wherever found,4,Threatened,Fishes
Dromus dromas,Dromedary pearlymussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Percina williamsi,Sickle darter,Wherever found,4,Threatened,Fishes
Phoxinus cumberlandensis,Blackside dace,Wherever found,4,Threatened,Fishes
