scientific_name,common_name,listing_location,listing_region,esa_status,group,Url
Elliptio spinosa,Altamaha Spinymussel,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/6920
Elliptoideus sloatianus,Purple bankclimber (mussel),Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/7660
Epioblasma brevidens,Cumberlandian combshell,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/3119
Epioblasma brevidens,Cumberlandian combshell,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/3119
Epioblasma brevidens,Cumberlandian combshell,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/3119
Epioblasma capsaeformis,Oyster mussel,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/2099
Epioblasma capsaeformis,Oyster mussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/2099
Epioblasma capsaeformis,Oyster mussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/2099
Epioblasma florentina florentina,Yellow blossom (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/6919
Epioblasma florentina florentina,Yellow blossom (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/6919
Epioblasma florentina walkeri (=E. walkeri),Tan riffleshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/1247
Epioblasma metastriata,Upland combshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/317
Epioblasma othcaloogensis,Southern acornshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/8469
Epioblasma penita,Southern combshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/7285
Epioblasma torulosa gubernaculum,Green blossom (pearlymussel),Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/2098
Epioblasma torulosa torulosa,Tubercled blossom (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/4126
Epioblasma torulosa torulosa,Tubercled blossom (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/4126
Epioblasma turgidula,Turgid blossom (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/7659
Epioblasma turgidula,Turgid blossom (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/7659
Erimonax monachus,Spotfin Chub,"Wherever found, except where listed as an experimental population",4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/1521
Erimonax monachus,Spotfin Chub,U.S.A. (TN-specified portions of the Tellico River; see 17.84(m)(1)(i)),4,"Experimental Population, Non-Essential",Fishes,https://ecos.fws.gov/ecp/species/1521
