County,Type,Category,Scientific Name,Common Name,Global Rank,State Rank,Fed. Status,State Status,Habitat,Wet Habitat Flag
Rutherford,Invertebrate Animal,Mollusc,Pegias fabula,Littlewing Pearlymussel,G1,S1,LE,E,"Cool, clear, high-gradient streams in sand, gravel, and cobble substrates, riffles; portions of Cumberland & upper Tenn. river systems.",Aquatic
Rutherford,Vertebrate Animal,Fish,Percina phoxocephala,Slenderhead Darter,G5,S3,--,D,Small-large rivers with moderate gradient in shoal areas with moderate-swift currents; portions of Tenn & Cumb river watersheds.,Aquatic
Rutherford,Vertebrate Animal,Amphibian,Gyrinophilus palleucus,Tennessee Cave Salamander,G2G3,S2,--,T,"Aquatic cave obligate; cave streams & rimstone pools; Central Basin, Eastern Highland Rim, & Cumberland Plateau.",Aquatic
Rutherford,Vascular Plant,Fern and Fern Ally,Isoetes melanopoda,Blackfoot Quillwort,G5,S1S2,--,E,Seasonal Streambeds And Wet Depressions,Aquatic
Rutherford,Invertebrate Animal,Mollusc,Epioblasma walkeri,Tan Riffleshell,G1,S1,LE,E,"Found in river headwaters, in riffles and shoals in sand and gravel substrates; Tennessee & Cumberland river systems.",Aquatic
Rutherford,Vertebrate Animal,Fish,Etheostoma luteovinctum,Redband Darter,G4,S4,--,D,Limestone streams; Nashville Basin & portions of Highland Rim.,Aquatic
Rutherford,Vertebrate Animal,Fish,Etheostoma microlepidum,Smallscale Darter,G2G3,S2,--,D,"Small rivers, in deep, strongly flowing riffles with gravel, boulder, and coarse rubble substrates; Cumberland River drainage.",Aquatic
Rutherford,Vertebrate Animal,Fish,Etheostoma striatulum,Striated Darter,G1,S1,--,T,Bedrock pools of headwaters and creeks with large slabrock cover; upper Duck River watershed.,Aquatic
Rutherford,Vertebrate Animal,Fish,Etheostoma tippecanoe,Tippecanoe Darter,G3G4,S1S2,--,D,Medium to large rivers in shallow riffle areas containing fine cherty gravel; Cumberland River watershed.,Aquatic
Rutherford,Vertebrate Animal,Fish,Typhlichthys subterraneus,Southern Cavefish,G4,S3,--,D,"Aquatic cave obligate; cave streams, karst waters, and water supply wells; reported from all karst regions excluding RV & BR.",Aquatic
Rutherford,Vascular Plant,Flowering Plant,Veronica catenata,Sessile Water-speedwell,G5,S1,--,E,Slow Flowing Streams And Ditches,Aquatic
Rutherford,Invertebrate Animal,Mollusc,Pleuronaia gibber,Cumberland Pigtoe,G1,S1,LE,E,"Shallow areas in small-medium rivers in riffles with sand and gravel substrates; tribs of Cumberland River & poss TN R, middle Tenn.",Aquatic
Rutherford,Invertebrate Animal,Mollusc,Theliderma cylindrica cylindrica,Rabbitsfoot,G3G4T3,S3,LT,T,Large rivers in sand and gravel; Tennessee & Cumberland systems; big river form of Q. cylindrica.,Aquatic
Rutherford,Vascular Plant,Flowering Plant,Ranunculus aquatilis var. diffusus,White Water-buttercup,G5T5,S1,--,E,Ponds And Streams,Aquatic
Rutherford,Invertebrate Animal,Mollusc,Simpsonaias ambigua,Salamander Mussel,G3,S1,--,"Rare, Not State Listed","In sand or silt under large, flat stones in areas of swift current; occurred historically in E Fk Stones R; 2005 obs in lower Duck R.",Aquatic
Scott,Invertebrate Animal,Crustacean,Cambarus bouchardi,Big South Fork Crayfish,G2,S1,--,E,Small to medium sized streams under rock cover; Roaring Paunch Creek & tributaries (Big South Fork watershed); tertiary burrower.,Aquatic
Scott,Vertebrate Animal,Fish,Etheostoma tippecanoe,Tippecanoe Darter,G3G4,S1S2,--,D,Medium to large rivers in shallow riffle areas containing fine cherty gravel; Cumberland River watershed.,Aquatic
Scott,Vertebrate Animal,Fish,Etheostoma susanae,Cumberland Darter,G1G2,S1,LE,E,Creeks in the upper Cumberland River watershed of the Cumberland Mountains; extremely rare.,Aquatic
Scott,Vertebrate Animal,Fish,Etheostoma sagitta,Cumberland Arrow Darter,G3,S2,--,D,Smaller streams of northern Cumberland Plateau & Cumberland Mountains; Cumberland River watershed.,Aquatic
Scott,Vertebrate Animal,Fish,Etheostoma obeyense,Barcheek Darter,G4,S3,--,"Rare, Not State Listed","Small to medium sized, clear upland streams; Eastern Highland Rim; Cumberland River drainage.",Aquatic
Scott,Vertebrate Animal,Fish,Etheostoma lemniscatum,Tuxedo Darter,G1,S1,LE,E,"Gently flowing, silt-free pools or runs immediately upst of riffles with cobble, boulders, & slabrock; Big South Fork Cumberland River.",Aquatic
Scott,Vertebrate Animal,Fish,Etheostoma baileyi,Emerald Darter,G4G5,S2,--,D,Creeks and small rivers with riffles containing gravel or rubble; upper Cumberland drainage.,Aquatic
Scott,Invertebrate Animal,Mollusc,Epioblasma walkeri,Tan Riffleshell,G1,S1,LE,E,"Found in river headwaters, in riffles and shoals in sand and gravel substrates; Tennessee & Cumberland river systems.",Aquatic
Scott,Invertebrate Animal,Mollusc,Epioblasma brevidens,Cumberlandian Combshell,G1,S1,"LE, XN",E,"Large creeks to large rivers, in coarse sand or mixtures of gravel, cobble, or rocks; Tennessee & Cumberland river systems.",Aquatic
Scott,Vascular Plant,Flowering Plant,Potamogeton tennesseensis,Tennessee Pondweed,G2G3,S2,--,T,Slow Acidic Streams,Aquatic
Scott,Vertebrate Animal,Fish,Percina squamata,Olive Darter,G3,S2,--,D,Small-med rivers; in strong flowing chutes with rubble/boulders in high-gradient streams; portions of upper Tenn & Cumb river systems. <br>,Aquatic
Scott,Invertebrate Animal,Mollusc,Pegias fabula,Littlewing Pearlymussel,G1,S1,LE,E,"Cool, clear, high-gradient streams in sand, gravel, and cobble substrates, riffles; portions of Cumberland & upper Tenn. river systems.",Aquatic
Scott,Invertebrate Animal,Mollusc,Alasmidonta atropurpurea,Cumberland Elktoe,G1G2,S1S2,LE,E,"Small creeks to medium-sized rivers with slow current, sand substrates, and large cobble; upper Cumberland River watershed.",Aquatic
