YEAR,CLASS,SCIENTIFIC NAME,COMMON NAME,GLOBAL RANK,STATE RANK,FEDERAL STATUS,STATE STATUS,,,,,,,,,
2003,Fishes,Cycleptus elongatus,blue sucker,G3,S2S3,,,,,,,,,,,
2003,Fishes,Cycleptus meridionalis,southeastern blue sucker,G3,S3,,,,,,,,,,,
2003,Fishes,Ictiobus cyprinellus,bigmouth buffalo,G5,S2S3,,,,,,,,,,,
2003,Fishes,Ictiobus niger,black buffalo,G5,S2S3,,,,,,,,,,,
2003,Fishes,Moxostoma anisurum,silver redhorse,G5,S2,,,,,,,,,,,
2003,Fishes,Moxostoma macrolepidotum,shorthead redhorse,G5,S3,,,,,,,,,,,
2003,Fishes,Moxostoma sp 1,Apalachicola redhorse,G3,S2,,,,,,,,,,,
2003,Fishes,Scartomyzon lachneri,greater jumprock,G4,S3,,,,,,,,,,,
2003,Fishes,Campostoma pauciradii,bluefin stoneroller,G4,S2,,,,,,,,,,,
2003,Fishes,Cyprinella caerulea,blue shiner,G2,S1,LT,SP,,,,,,,,,
2003,Fishes,Cyprinella callitaenia,bluestripe shiner,G2G3,S2,,,,,,,,,,,
2003,Fishes,Cyprinella gibbsi,Tallapoosa shiner,G4,S3,,,,,,,,,,,
2003,Fishes,Cyprinella monacha,spotfin chub,G2,SH,LT,SP,,,,,,,,,
2003,Fishes,Erimystax dissimilis,streamline chub,G4,S1,,,,,,,,,,,
2003,Fishes,Erimystax insignis,blotched chub,G3G4,S2,,,,,,,,,,,
2003,Fishes,Hemitremia flammea,flame chub,G3,S3,,,,,,,,,,,
2003,Fishes,Hybognathus hayi,cypress minnow,G5,S3,,,,,,,,,,,
2003,Fishes,Hybognathus nuchalis,Mississippi silvery minnow,G5,S4,,,,,,,,,,,
2003,Fishes,Hybopsis amblops,bigeye chub,G5,S3,,,,,,,,,,,
2003,Fishes,Hybopsis lineapunctata,lined chub,G3,S3,,,,,,,,,,,
2003,Fishes,Hybopsis winchelli,clear chub,G5,S3,,,,,,,,,,,
2003,Fishes,Luxilus coccogenis,warpaint shiner,G5,S1,,,,,,,,,,,
2003,Fishes,Luxilus zonistius,bandfin shiner,G4,S3,,,,,,,,,,,
2003,Fishes,Lythrurus fumeus,ribbon shiner,G5,S2,,,,,,,,,,,
2003,Fishes,Lythrurus lirus,mountain shiner,G4,S3,,,,,,,,,,,
2003,Fishes,Lythrurus roseipinnis,cherryfin shiner,G5,S2,,,,,,,,,,,
2003,Fishes,Macrhybopsis hyostoma,shoal chub,G5,S3,,,,,,,,,,,
2003,Fishes,Macrhybopsis sp 2,Florida chub,G3,S3,,,,,,,,,,,
2003,Fishes,Nocomis micropogon,river chub,G5,S2,,,,,,,,,,,
2003,Fishes,Notropis albizonatus,palezone shiner,G2,S1,LE,SP,,,,,,,,,
2003,Fishes,Notropis ariommus,popeye shiner,G3,SX,,,,,,,,,,,
2003,Fishes,Notropis boops,bigeye shiner,G5,S2,,,,,,,,,,,
