YEAR,CLASS,Scientific Name,Common Name,"Global
Rank","State
Rank","Federal
Status","State
Status","SWAP
Status",Counties of occurrence
2019,Fishes,Acantharchus pomotis,mud sunfish,G4G5,S1,,,,Counties of occurrence:  Washington
2019,Fishes,Acipenser fulvescens,lake sturgeon,G3G4,S1,,SP,EXCAU,"Counties of occurrence:  Cherokee, Limestone4, Madison4, Morgan4, Shelby4, St. Clair4, Talladega4"
2019,Fishes,Acipenser oxyrinchus desotoi,Gulf sturgeon,G3T2,S1,LT,SP,P2,"Counties of occurrence:  Baldwin, Bibb4,  Chilton4, Choctaw, Clarke, Coffee, Covington, Dale, Escambia, Elmore4, Geneva, Houston, Macon4, Marengo4, Mobile, Monroe, Sumter4, Washington, Wilcox"
2019,Dicots,Aconitum uncinatum,blue monkshood,G4,S1,,,,
2019,Dicots,Actaea rubifolia,Appalachian bugbane,G3,S1,,,,Counties of occurrence:  Madison
2019,Freshwater Mussels,Actinonaias ligamentina,mucket,G5,S2,,PSM,P1,"Counties of occurrence:  Colbert4, Jackson4, Lauderdale, Limestone4, Morgan4"
2019,Freshwater Mussels,Actinonaias pectorosa,pheasantshell,G4,SX,,PSM,EX,"Counties of occurrence:  Colbert4, Jackson4, Lauderdale, Limestone4"
2019,Dicots,Agalinis aphylla,leafless false-foxglove,G3G4,S2,,,,"Counties of occurrence:  Baldwin, Mobile, Washington"
2019,Dicots,Agalinis auriculata,auriculate false-foxglove,G3,S1,,,,"Counties of occurrence:  Montgomery4, Morgan4, Pickens, Wilcox4"
2019,Dicots,Agalinis divaricata,pineland false-foxglove,G3?,S1,,,,"Counties of occurrence:  Covington, Geneva"
2019,Dicots,Agalinis filicaulis,thin-stemmed false-foxglove,G3G4,S2,,,,Counties of occurrence:  Mobile
2019,Dicots,Agalinis gattingeri,Gattinger's false-foxglove,G4,SH,,,,
2019,Dicots,Agalinis georgiana,Georgia false-foxglove,GNR,S1,,,,"Counties of occurrence:  Covington, Geneva"
2019,Dicots,Agalinis heterophylla,prairie false-foxglove,G4G5,S2,,,,"Counties of occurrence:  Bullock, Dallas, Elmore, Hale, Marengo, Montgomery, Perry, Sumter"
2019,Dicots,Agalinis linifolia,flax-leaf false-foxglove,G4?,S2,,,,"Counties of occurrence:  Baldwin, Covington, Houston, Mobile"
2019,Dicots,Agalinis oligophylla,ridge-stem false-foxglove,G4,S1,,,,"Counties of occurrence:  Dallas, Sumter"
2019,Dicots,Agastache nepetoides,yellow giant hyssop,G5,S1,,,,"Counties of occurrence:  Jackson, Lawrence, Madison, Marshall"
2019,Dicots,Agrimonia incisa,incised groovebur,G3,S2,,,,"Counties of occurrence:  Baldwin, Bullock, Covington, Geneva, Mobile, Pike, Washington"
2019,Arachnids,Alabamocreagris mortis,a cave obligate pseudoscorpion7,G1G2,S1S2,,,,Counties of occurrence:  Jackson
2019,Arachnids,Alabamocreagris pecki,a cave obligate pseudoscorpion7,G1G2,S1S2,,,,Counties of occurrence:  Marshall
2019,Freshwater Mussels,Alasmidonta marginata,elktoe,G4,S1,,PSM,P1,"Counties of occurrence:  Colbert4, Franklin4, Jackson, Lauderdale4, Madison4"
2019,Freshwater Mussels,Alasmidonta triangulata,southern elktoe,G1Q,S1,UR,PSM,P1,Counties of occurrence:  Russell
2019,Freshwater Mussels,Alasmidonta viridis,slippershell mussel,G4G5,S1,,SP,P1,"Counties of occurrence:  Jackson, Madison"
2019,Monocots,Allium speculae,Little River Canyon onion,G2,S2,,,,"Counties of occurrence:  Cherokee, DeKalb, Jackson, Marshall"
2019,Monocots,Allium tricoccum,wild leek,G5,S1,,,,"Counties of occurrence:  Jackson, Marshall"
2019,Insects,Allocapnia sano,Sano stonefly7,G1,S1,,,,Counties of occurrence:  Madison
2019,Fishes,Alosa alabamae,Alabama shad,G2G3,S2,SC32,SP,P1,"Counties of occurrence:  Baldwin4, Bibb4, Choctaw, Clarke4, Covington, Dale, Dallas, Elmore4, Escambia, Geneva, Greene, Hale, Houston, Marengo4, Mobile4, Monroe, Perry4, Shelby4, Sumter, Tuscaloosa, Wilcox"
2019,Freshwater Mussels,Amblema elliottii,Coosa fiveridge,G3,S3,,PSM,,"Counties of occurrence:  Calhoun, Cherokee, Coosa, Elmore, Etowah, Jefferson, Shelby, St. Clair, Talladega, Tuscaloosa, Walker"
2019,Insects,Amblyscirtes alternata,dusky roadside-skipper,G2G3,S2S3,,,,
2019,Amphibians,Ambystoma bishopi,Reticulated Flatwoods Salamander,G2,S1,LE,SP,P1,"Counties of occurrence17:  Baldwin, Covington, Houston, Mobile"
2019,Amphibians,Ambystoma texanum,Small-mouthed Salamander,G5,S3,,,P2,"Counties of occurrence:  Choctaw, Madison, Marion, Montgomery, Morgan, Perry, Sumter, Tuscaloosa, Washington, Wilcox"
2019,Amphibians,Ambystoma tigrinum,Eastern Tiger Salamander,G5,S3,,,P2,"Counties of occurrence:  Bibb, Bullock, Calhoun, Chilton, Cleburne, Colbert, Covington, Crenshaw, Cullman, Dale, Escambia, Geneva, Henry, Houston, Jefferson, Macon, Marshall, Mobile, Montgomery, Shelby, Talladega"
2019,Fishes,Ameiurus brunneus,snail bullhead,G4,S3,,CNGF,,"Counties of occurrence:  Barbour, Chambers, Houston, Lee, Randolph, Russell"
2019,Fishes,Ameiurus catus,white catfish,G5,S3,,CNGF,,"Counties of occurrence:  Barbour, Geneva, Henry, Houston, Lee, Russell"
2019,Fishes,Ameiurus serracanthus,spotted bullhead,G3,S2,,CNGF,,"Counties of occurrence:  Barbour, Chambers, Henry, Houston, Lee, Russell"
2019,Millipedes,Ameractis satis,a cave obligate millipede,G2G4,SNR,,,,"Counties of occurrence:  Jackson, Marshall"
2019,Fishes,Ammocrypta bifascia,Florida sand darter,G4,S3,,,,"Counties of occurrence:  Baldwin, Butler, Coffee, Conecuh, Covington, Crenshaw, Dale, Escambia, Geneva, Houston, Pike"
2019,Fishes,Ammocrypta vivax,scaly sand darter,G5,S1,,,P1,Counties of occurrence:  Mobile
2019,Birds,Ammodramus henslowii,Henslow's Sparrow,G4,S2N,,SP,P1,"Counties of occurrence:  Baldwin, Covington, Escambia, Mobile"
2019,Birds,Ammodramus leconteii,Le Conte's Sparrow,G4,S3N,,SP,,"Counties of occurrence:  Baldwin, Mobile"
2019,Birds,Ammodramus maritimus,Seaside Sparrow,G4,S2,,SP,P2,"Counties of occurrence:  Baldwin, Mobile"
2019,Birds,Ammodramus nelsoni,Nelson’s Sparrow,G5,S3N,,SP,P2,"Counties of occurrence:  Baldwin, Mobile"
2019,Dicots,Amorpha nitens,indigo bush,G3?,S1?,,,,Counties of occurrence: Elmore4
2019,Dicots,Ampelaster carolinianus,Carolina aster,G5,S1,,,,Counties of occurrence:  Mobile
2019,Monocots,Amphicarpum muehlenbergianum,blue maiden-cane,G4,S1,,,,"Counties of occurrence:  Covington, Houston"
2019,Insects,Amphinemura alabama,Alabama Forestfly,G3,S2,,,,"Counties of occurrence:  Lauderdale, Limestone"
2019,Insects,Amphinemura mockfordi,Tennessee forestfly,G2,S1,UR,,,Counties of occurrence:  Madison
2019,Amphibians,Amphiuma means,Two-toed Amphiuma,G5,S3,,,,"Counties of occurrence:  Baldwin, Covington, Henry, Houston, Macon, Mobile, Monroe, Montgomery, Pike,
Washington"
2019,Amphibians,Amphiuma pholeter,One-toed Amphiuma,G3,S1,,SP,P2,"Counties of occurrence:  Baldwin, Mobile"
2019,Amphibians,Amphiuma tridactylum,Three-toed Amphiuma,G5,S3,,,,"Counties of occurrence:  Dallas, Hale, Sumter, Tuscaloosa, Washington"
2019,Dicots,Amsonia rigida,stiff blue-star,G4,S1,,,,"Counties of occurrence:  Geneva, Houston"
2019,Arachnids,Anahita punctulata,southeastern wandering spider,G4,SNR,,,,"Counties of occurrence:  Colbert, Jackson, Madison, Marshall, Morgan"
2019,Birds,Anas fulvigula,Mottled Duck,G4,"S2N,S3B",,SP,P2,"Counties of occurrence:  Baldwin, Mobile"
2019,Birds,Anas rubripes,American Black Duck,G5,"S2B,S5N",,SP,P2,"Counties of occurrence:  Limestone, Marshall, Morgan"
2019,Monocots,Andropogon arctatus,pine-woods bluestem,G3,S1,,,,"Counties of occurrence:  Covington, Geneva"
2019,Monocots,Andropogon perangustatus,Elliott’s beardgrass,G5T4,S1,,,,"Counties of occurrence:  Baldwin, Mobile, Covington"
2019,Monocots,Andropogon virginicus var. glaucus,beardgrass,G4T4T5,S2,,,,"Counties of occurrence:  Covington, Houston, Mobile"
2019,Amphibians,Aneides aeneus,Green Salamander,G3G4,S3,UR,SP,P2,"Counties of occurrence: Cherokee, Colbert, DeKalb, Franklin, Jackson, Lauderdale, Lawrence, Madison, Marion, Marshall, St. Clair, Tuscaloosa4, Walker, Winston "
2019,Terrestrial Snails,Anguispira alabama,Alabama tigersnail,G2,S2?,,,,
2019,Terrestrial Snails,Anguispira alternata,flamed tigersnail,G5,S1S2,,,,
2019,Terrestrial Snails,Anguispira cumberlandiana,Cumberland tigersnail,G3,S1S2,,,,
2019,Terrestrial Snails,Anguispira jessica,mountain disc,G3G4,S1S2,,,,
2019,Terrestrial Snails,Anguispira mordax,Appalachian tigersnail,G4,SNR,,,,
2019,Insects,Anillinus valentinei,a cave obligate beetle,G3G4,S1,,,,"Counties of occurrence:  DeKalb, Jefferson"
2019,Freshwater Mussels,Anodonta hartfieldorum,cypress floater,G4,S1,,PSM,,"Counties of occurrence:  Baldwin, Covington, Escambia"
